"nct_id","pmid","reference_type"
"NCT00816907",20859106,"one-to-one"
"NCT00813852",21706288,"one-to-one"
"NCT00812695",23598607,"one-to-one"
"NCT00817128",26628523,"one-to-one"
"NCT00817128",25919011,"one-to-one"
"NCT00817128",22515496,"one-to-one"
"NCT00818597",21371308,"one-to-one"
"NCT00819234",26589105,"one-to-one"
"NCT00812968",22172461,"one-to-one"
"NCT00811772",27572953,"one-to-one"
"NCT00819858",22558108,"one-to-one"
"NCT00818376",21085810,"one-to-one"
"NCT00818493",23545428,"one-to-one"
"NCT00819000",25787057,"one-to-one"
"NCT00819000",24624979,"one-to-one"
"NCT00811252",22572889,"one-to-one"
"NCT00814749",23635736,"one-to-one"
"NCT00814749",19622153,"one-to-one"
"NCT00816829",20297950,"one-to-one"
"NCT00810732",25801761,"one-to-one"
"NCT00810732",24890823,"one-to-one"
"NCT00810732",23243212,"one-to-one"
"NCT00810732",21357275,"one-to-one"
"NCT00811629",25932660,"one-to-one"
"NCT00811629",21220996,"one-to-one"
"NCT00811070",28409328,"one-to-one"
"NCT00811070",25540064,"one-to-one"
"NCT00812734",30882400,"one-to-one"
"NCT00812734",26299436,"one-to-one"
"NCT00812734",26053994,"one-to-one"
"NCT00812734",24373573,"one-to-one"
"NCT00818389",20363190,"one-to-one"
"NCT00819923",23996244,"one-to-one"
"NCT00816881",25534580,"one-to-one"
"NCT00812604",20001836,"one-to-one"
"NCT00816166",25803346,"one-to-one"
"NCT00814554",28178972,"one-to-one"
"NCT00814554",25393601,"one-to-one"
"NCT00814554",23253647,"one-to-one"
"NCT00814554",22992391,"one-to-one"
"NCT00814554",21134278,"one-to-one"
"NCT00819182",22936289,"one-to-one"
"NCT00817102",23695823,"one-to-one"
"NCT00814268",27418597,"one-to-one"
"NCT00819429",25882235,"one-to-one"
"NCT00810329",21375763,"one-to-one"
"NCT00813709",28039317,"one-to-one"
"NCT00819065",23468866,"one-to-one"
"NCT00810069",22722513,"one-to-one"
"NCT00814580",24353022,"one-to-one"
